StudentNumber,Gender,GradeLevel,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,RiskRating
32,Male,1,4,5,5,6,4,5,5,3,6,3,5,1,7,7,3,7,3,6,3,7,6,6,7,4,4,2,4,7,Low
33,Female,1,4,5,2,7,3,6,5,3,3,5,7,2,7,6,5,5,5,5,2,7,4,3,4,4,7,2,6,6,Low
34,Female,1,3,4,3,4,2,6,3,3,4,6,7,3,5,6,4,6,4,6,2,6,5,5,6,4,5,2,4,4,Low
35,Female,1,3,4,5,7,3,7,5,6,5,3,7,2,7,7,4,7,5,7,4,6,6,5,5,4,4,1,5,7,Low
36,Female,1,4,7,3,6,2,5,3,3,7,4,6,3,2,6,5,7,3,7,3,6,6,4,5,6,5,4,5,7,Low
37,Male,1,2,4,3,6,2,5,3,3,6,3,5,1,4,4,3,5,1,4,2,4,4,4,4,4,6,1,6,6,Low
38,Female,1,4,6,4,6,2,7,5,4,7,5,7,1,7,5,4,5,4,5,3,6,5,3,7,4,5,2,7,7,Low
39,Male,1,4,5,5,6,3,5,4,2,7,3,7,1,7,5,4,5,5,7,3,6,6,3,6,2,6,1,5,5,Low
40,Female,1,3,4,2,7,3,6,5,4,7,5,5,3,5,6,4,5,3,5,2,7,5,5,6,3,7,1,7,5,Low
41,Male,1,7,6,5,6,3,7,5,5,7,5,6,1,7,6,3,5,6,6,1,6,7,3,3,5,7,3,6,1,Low
42,Male,1,3,5,3,4,3,5,5,3,6,4,3,2,5,5,5,4,1,4,1,4,5,1,5,3,4,1,5,4,Low
43,Female,1,5,5,4,5,1,5,4,3,6,3,6,1,5,7,3,5,4,4,2,6,4,5,5,5,5,1,5,6,Low
44,Male,1,3,7,3,6,2,6,5,1,7,3,5,4,6,7,3,4,3,6,2,5,6,4,7,4,6,4,5,5,Low
45,Male,1,3,7,3,6,2,7,2,3,7,3,6,4,5,7,2,6,5,7,3,7,7,5,5,4,4,1,5,4,Low
46,Female,1,4,5,5,7,3,6,4,4,7,4,5,1,6,5,5,6,4,6,2,6,7,3,7,2,7,1,4,7,Low
47,Male,1,2,5,5,7,2,6,5,2,6,5,6,2,4,5,3,5,4,5,1,7,7,6,7,4,6,3,6,5,Low
48,Male,1,5,6,3,7,3,7,6,5,6,4,6,3,7,4,4,6,3,7,3,7,6,4,6,4,6,1,5,5,Low
49,Male,1,3,5,3,5,1,6,5,3,5,3,6,2,5,7,4,5,2,7,2,6,6,4,7,4,4,4,7,6,Low
50,Male,1,3,6,2,5,2,7,4,3,6,4,5,1,5,5,4,7,3,6,2,5,5,4,6,3,5,1,6,4,Low
51,Male,1,2,5,5,5,2,5,4,3,5,5,5,3,5,7,5,5,4,7,2,6,4,3,5,3,5,2,5,5,Low
52,Male,1,4,7,4,6,4,7,6,5,7,4,6,3,7,6,4,7,5,7,3,7,7,4,6,4,6,2,7,5,Low
53,Female,1,2,6,5,6,3,7,4,4,5,4,6,2,4,4,4,5,6,7,1,6,6,3,7,4,6,2,6,6,Low
54,Female,1,2,4,4,6,3,6,3,5,7,4,7,3,5,7,5,7,3,6,1,6,6,4,7,3,7,2,7,6,Low
55,Female,1,2,7,5,7,1,6,4,2,6,4,6,1,6,7,5,6,5,7,1,4,7,2,4,5,5,2,5,5,Low
56,Male,1,3,7,4,3,2,7,4,5,7,5,5,1,6,6,6,6,4,5,4,6,6,4,6,6,4,3,6,5,Low
57,Male,1,4,2,3,6,2,5,5,5,7,5,5,3,6,7,5,5,4,5,3,5,6,4,5,4,5,1,7,6,Low
58,Male,1,4,6,4,5,2,6,5,5,7,2,4,2,5,6,3,6,4,5,3,6,5,3,5,6,5,2,6,6,Low
59,Female,1,4,4,4,4,4,4,4,5,4,1,4,4,4,4,3,4,4,4,1,4,3,4,4,4,4,4,4,4,Low
60,Female,1,6,7,5,7,2,7,5,5,7,5,6,2,5,7,6,7,5,6,2,7,6,6,7,4,7,2,7,7,Low
61,Female,1,5,6,3,6,2,7,5,4,7,5,5,1,5,5,3,4,4,6,3,3,5,4,4,4,3,3,6,6,Low
62,Male,1,6,7,6,7,3,7,4,5,7,5,7,3,6,7,7,6,4,7,4,7,7,4,7,3,7,3,7,7,Low
63,Female,1,3,5,4,4,2,5,4,4,5,4,5,3,6,6,4,7,3,5,1,7,6,4,7,3,5,2,5,7,Low
64,Male,1,3,6,3,6,2,7,4,4,5,5,5,1,4,7,2,6,3,7,3,5,7,4,6,2,7,1,6,5,Low
65,Male,1,2,5,4,4,1,5,2,2,4,3,5,5,3,3,3,5,3,6,1,6,5,3,6,1,6,2,5,5,Low
66,Female,1,4,5,3,5,3,6,5,2,6,3,7,4,4,7,3,6,6,5,1,4,6,4,4,5,4,1,5,4,Low
67,Male,1,6,7,5,6,2,5,3,4,7,5,7,2,5,6,5,5,2,6,2,6,6,5,6,5,5,2,4,6,Low
68,Female,1,6,2,4,4,2,4,6,2,6,4,2,4,6,6,4,6,2,6,4,6,2,6,2,4,4,4,6,7,Low
69,Female,1,6,6,5,3,3,7,5,4,7,2,6,2,7,7,6,7,5,4,3,6,7,4,6,4,5,3,5,5,Low
70,Male,1,5,7,6,6,3,7,6,4,7,6,5,2,7,7,4,6,5,4,3,6,6,6,7,5,7,4,7,7,Low
71,Female,1,4,7,5,6,1,7,4,5,6,5,5,2,5,5,3,5,6,5,2,5,6,4,7,3,6,2,6,6,Low
72,Male,1,6,7,5,5,4,7,5,4,7,3,5,3,5,5,5,6,2,5,2,5,5,5,7,3,5,2,4,6,Low
73,Male,1,4,6,5,6,2,5,5,4,6,4,6,3,6,7,5,7,3,3,2,5,6,6,5,5,5,1,5,7,Low
74,Male,1,5,6,5,6,4,7,4,4,6,3,7,2,6,6,3,6,6,7,2,6,5,4,5,4,6,1,7,7,Low
75,Male,1,3,6,4,5,2,7,4,3,7,3,6,3,5,5,4,6,4,6,1,6,5,4,4,3,4,2,4,7,Low
76,Male,1,4,6,3,7,2,7,3,3,6,4,6,2,6,5,4,5,2,7,2,6,6,4,7,4,5,2,5,5,Low
77,Male,1,3,5,3,5,1,4,5,4,6,3,6,2,5,4,3,5,5,7,4,6,6,4,6,3,5,4,5,7,Low
78,Male,1,6,2,6,6,2,4,2,6,2,4,2,4,4,4,4,6,6,4,2,6,4,4,2,6,2,2,6,6,Low
79,Male,1,4,5,5,7,1,5,5,5,5,4,6,2,7,6,6,5,5,7,1,5,7,5,5,6,6,3,6,6,Low
80,Male,1,6,4,4,4,4,4,5,4,4,4,4,2,4,4,3,6,4,4,4,4,4,3,4,4,4,4,6,4,Low
81,Male,1,2,4,3,4,3,5,4,3,5,2,4,1,4,5,4,3,1,6,1,4,6,2,4,2,4,1,6,4,Low
82,Male,1,4,4,4,4,4,7,4,4,5,4,4,4,4,5,5,6,4,6,1,4,4,4,4,4,7,1,4,4,Low
83,Male,1,3,4,3,4,2,4,4,2,4,4,5,1,5,3,2,5,3,6,2,6,3,3,5,7,5,1,5,6,Low
84,Female,1,5,6,5,7,3,7,6,3,7,6,6,2,7,7,3,4,5,7,4,7,6,6,6,4,7,4,7,5,Low
85,Female,1,3,6,5,5,2,7,5,5,6,4,4,2,5,6,6,6,2,5,2,5,6,4,5,4,5,4,6,5,Low
86,Male,1,5,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4,3,4,4,7,4,4,4,4,4,3,4,4,Low
87,Female,1,5,7,3,7,3,7,6,4,6,4,5,2,7,7,4,5,4,6,3,7,7,5,6,4,7,2,6,7,Low
88,Male,1,3,5,4,7,2,4,6,5,7,4,7,1,5,5,4,6,3,5,2,7,5,3,7,4,5,2,4,6,Low
89,Female,1,4,3,2,7,1,6,4,4,7,5,5,2,4,5,4,6,4,5,1,6,7,4,6,4,5,3,5,5,Low
90,Female,1,4,6,3,6,2,7,4,2,6,3,4,2,5,7,4,6,4,6,3,7,5,3,4,3,5,4,6,5,Low
91,Male,1,6,4,2,6,2,6,5,3,7,4,5,1,6,7,3,6,2,7,3,6,5,2,6,4,6,3,5,7,Low
92,Male,1,5,6,6,6,4,7,4,5,7,5,6,3,7,7,4,6,3,6,2,6,7,4,6,2,6,4,6,6,Low
93,Male,1,5,6,5,5,2,7,3,6,6,2,4,2,7,5,6,5,3,7,4,6,7,3,1,5,6,1,6,7,Low
94,Female,1,4,6,2,6,1,7,4,3,7,6,7,2,5,5,5,5,2,7,2,5,7,5,6,3,6,1,5,3,Low
95,Female,1,4,4,4,4,4,5,5,4,4,4,4,4,6,4,4,4,3,4,2,5,4,4,7,4,4,3,6,6,Low
96,Male,1,4,6,2,5,2,6,3,2,5,3,5,1,4,5,2,6,3,6,1,5,6,4,4,4,5,1,5,5,Low
97,Male,1,2,6,6,4,2,7,4,6,3,6,4,6,6,4,2,2,4,2,4,4,2,4,6,4,2,4,6,4,Low
98,Male,1,6,7,5,7,4,6,4,7,7,4,6,2,7,6,5,7,3,6,3,5,7,5,7,6,7,2,6,7,Low
99,Female,1,6,4,2,2,2,6,6,2,2,4,6,6,6,6,4,4,2,6,6,3,4,2,2,4,6,2,6,4,Low
100,Male,1,4,4,2,4,1,6,3,2,6,5,7,3,7,5,4,5,5,6,1,5,6,4,5,3,6,1,6,7,Low
101,Male,1,4,5,4,6,1,4,4,6,5,3,5,2,6,7,4,5,4,7,1,6,5,4,4,3,7,3,6,6,Low
102,Male,1,5,5,4,6,3,5,3,2,4,3,6,2,6,4,4,4,4,5,1,7,6,3,6,4,6,5,3,6,Low
103,Male,1,4,6,5,6,2,6,4,5,7,2,6,3,5,6,4,6,3,7,2,6,7,5,5,2,6,3,5,6,Low
104,Female,1,3,7,4,5,5,6,5,4,7,4,5,3,6,6,4,7,4,7,1,6,6,4,6,4,5,2,6,5,Low
105,Female,1,3,5,3,5,3,5,6,2,5,4,7,3,7,6,3,7,4,5,4,4,6,4,6,4,7,1,6,7,Low
106,Male,1,4,5,3,5,3,5,4,4,6,4,6,1,6,5,5,5,3,5,4,4,5,3,5,3,4,2,6,6,Low
107,Male,1,4,7,4,5,3,7,4,4,7,5,7,3,5,4,4,6,4,5,1,3,6,5,7,2,7,1,5,4,Low
108,Female,1,6,4,3,7,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,7,7,6,4,4,5,4,4,4,Low
109,Male,1,4,5,3,6,2,4,4,4,6,4,4,4,6,3,2,7,5,6,2,6,7,4,6,3,5,2,7,5,Low
110,Male,1,5,7,3,5,2,5,4,5,6,4,5,3,5,7,5,7,3,5,3,6,7,3,5,4,6,3,7,6,Low
111,Male,1,4,5,1,4,1,5,1,3,4,2,3,2,4,5,2,4,3,5,2,5,5,4,6,3,5,1,5,6,Low
112,Female,1,4,7,6,5,3,7,5,5,7,3,7,3,6,3,4,6,5,6,2,6,6,5,5,5,6,3,7,6,Low
113,Female,1,3,7,3,6,1,7,5,3,7,3,6,2,6,6,4,7,5,5,2,6,6,3,5,3,5,2,6,4,Low
114,Male,1,4,6,3,5,2,7,4,2,6,4,5,1,5,7,5,5,4,5,1,4,6,3,6,3,5,1,6,4,Low
115,Male,1,4,5,4,4,2,6,4,3,6,4,6,2,5,6,2,6,4,6,2,6,5,6,5,6,4,3,5,6,Low
116,Female,1,3,5,3,6,3,5,3,3,7,4,7,3,6,5,5,5,4,5,1,6,7,2,6,2,6,4,6,7,Low
117,Female,1,4,4,3,6,1,3,5,1,4,2,4,2,4,5,1,6,4,6,1,5,6,1,4,2,3,2,5,4,Low
118,Female,1,5,7,5,6,3,7,5,3,7,3,6,2,4,5,4,4,4,7,2,5,7,3,5,4,5,3,5,5,Low
119,Female,1,3,6,3,6,2,5,3,6,7,4,7,3,5,5,3,6,4,6,1,7,7,4,6,3,7,1,5,5,Low
120,Male,1,3,6,5,7,1,7,4,4,7,4,5,3,6,7,3,5,5,4,2,6,6,4,5,2,5,3,7,7,Low
121,Female,1,3,5,3,5,2,6,4,3,7,4,4,2,6,5,6,6,3,6,1,6,5,2,5,4,5,1,7,6,Low
122,Male,1,3,6,5,5,3,7,3,2,6,6,7,1,6,7,4,5,4,6,3,5,7,5,5,5,4,2,5,4,Low
123,Male,1,3,5,2,5,2,5,3,3,4,5,6,2,5,6,5,6,2,7,1,6,7,5,5,4,2,4,4,7,Low
124,Male,1,3,6,4,5,2,7,6,5,7,4,5,3,4,6,4,5,4,5,1,5,6,4,5,4,7,1,6,5,Low
125,Male,1,3,5,5,6,1,4,4,3,6,4,7,1,4,5,5,6,5,5,1,5,5,6,7,4,5,2,5,6,Low
126,Male,1,2,6,4,7,3,7,5,4,7,4,7,1,7,7,2,6,3,5,1,4,5,2,7,5,5,2,1,6,Low
127,Female,1,4,6,6,7,1,7,5,6,6,4,7,2,4,7,4,7,3,6,3,6,6,4,7,4,7,4,6,6,Low
128,Female,1,4,4,4,5,3,6,5,4,5,4,7,3,5,4,5,6,4,6,1,4,6,3,6,4,5,2,7,6,Low
129,Male,1,4,7,6,5,3,7,5,3,7,4,6,1,7,5,3,7,1,4,1,7,5,5,5,3,7,2,7,5,Low
130,Male,1,5,6,4,7,3,5,5,3,4,5,7,2,6,5,4,7,3,6,3,6,5,5,7,5,6,1,7,6,Low
131,Female,1,3,6,4,5,4,6,5,4,7,3,7,3,5,7,4,5,3,5,1,7,6,5,5,4,6,1,4,5,Low
132,Male,1,6,5,3,5,2,5,4,5,7,3,7,1,5,6,3,6,3,5,2,7,7,2,5,4,5,4,7,4,Low
133,Male,1,4,5,5,7,2,5,3,4,5,3,6,1,5,5,5,4,4,7,2,5,5,4,5,2,5,3,6,5,Low
134,Female,1,5,7,3,6,4,6,4,5,7,4,6,2,7,7,4,6,5,4,3,5,6,5,4,4,4,3,6,5,Low
135,Male,1,3,7,5,5,4,7,5,4,5,5,5,2,6,6,4,7,2,7,1,6,7,5,5,4,5,3,4,7,Low
136,Male,1,5,6,5,6,3,7,4,4,6,4,6,1,6,6,2,7,3,5,2,7,6,5,5,5,3,1,5,5,Low
137,Female,1,3,7,3,5,1,7,5,5,5,2,6,3,6,7,4,6,3,5,1,5,7,3,6,3,7,3,7,7,Low
138,Male,1,4,3,4,5,2,7,5,3,6,6,5,2,5,4,4,7,3,7,3,6,5,2,4,4,7,1,6,6,Low
139,Female,1,4,6,5,5,1,7,4,2,6,4,6,2,6,4,2,5,2,5,2,7,6,3,6,4,4,4,6,7,Low
140,Male,1,6,7,2,5,1,7,5,2,7,4,5,2,6,6,3,5,5,7,1,5,6,5,6,2,3,3,6,7,Low
141,Male,1,5,5,4,6,1,1,6,5,6,5,6,4,7,6,4,5,3,6,1,6,6,4,7,5,6,1,5,6,Low
142,Female,1,2,6,3,5,1,3,5,5,6,4,7,2,7,5,6,5,5,5,1,5,7,5,5,4,6,4,5,6,Low
143,Female,1,3,7,5,5,2,6,4,4,6,4,6,2,6,6,5,6,5,6,1,6,6,4,5,5,5,1,1,5,Low
144,Male,1,3,7,5,6,1,7,2,3,5,5,5,1,6,4,2,5,5,7,1,6,4,4,5,4,5,2,5,4,Low
145,Male,1,4,5,4,6,1,6,4,5,7,3,6,2,6,3,2,7,4,6,3,6,6,4,4,5,5,1,5,7,Low
146,Female,1,5,6,4,6,4,7,5,3,7,5,7,2,7,5,3,5,4,6,1,4,7,3,6,4,4,1,6,6,Low
147,Male,1,1,5,2,5,2,7,4,4,6,4,5,1,6,7,7,6,5,7,2,5,4,3,6,4,7,1,4,6,Low
148,Male,1,4,4,4,7,3,7,4,4,4,4,5,6,4,4,4,4,4,4,1,4,5,4,5,4,4,4,4,7,Low
149,Female,1,4,7,3,5,1,7,4,4,7,5,4,2,6,5,4,5,4,6,4,6,4,4,6,7,6,4,5,5,Low
150,Male,1,4,7,4,5,2,6,4,5,5,5,5,3,5,6,2,6,2,6,4,7,6,4,4,1,6,3,6,6,Low
151,Male,1,3,6,5,6,1,7,5,3,7,3,6,2,7,5,6,7,7,7,2,4,5,4,7,3,4,2,5,7,Low
152,Female,1,4,6,4,4,2,7,4,5,7,5,7,1,6,5,4,6,3,6,1,6,6,4,5,4,4,3,6,5,Low
153,Female,1,3,7,3,5,1,6,4,4,7,4,6,3,5,6,4,7,5,6,2,7,5,1,5,5,5,2,6,6,Low
154,Female,1,3,5,5,6,1,5,5,4,7,2,5,1,6,6,6,6,4,5,2,7,6,5,7,3,6,2,7,6,Low
155,Male,1,4,5,4,5,4,3,4,4,7,4,5,3,6,6,5,5,4,7,3,5,6,5,7,4,5,3,6,5,Low
156,Female,1,4,7,3,5,3,7,4,4,7,4,6,1,5,6,3,6,2,7,4,5,7,5,7,4,6,3,6,5,Low
157,Female,1,6,2,6,2,4,2,6,6,4,2,6,4,6,2,2,2,6,6,6,2,6,6,6,2,4,6,2,6,Low
158,Female,1,6,4,4,7,1,4,2,4,6,4,5,3,6,6,4,4,4,5,1,6,5,3,6,1,6,3,5,6,Low
159,Male,1,3,6,4,5,2,7,3,4,6,3,5,4,5,6,4,4,2,6,2,6,4,5,6,4,7,1,5,7,Low
160,Male,1,4,5,4,7,1,6,6,3,7,3,6,3,7,6,6,5,4,7,2,6,7,4,5,5,5,4,6,7,Low
161,Female,1,4,5,3,2,2,5,2,6,4,5,3,3,7,5,4,7,2,3,1,6,6,3,7,5,7,1,6,6,Low
162,Female,1,4,6,5,7,3,7,5,5,7,3,6,3,7,5,5,7,5,4,2,7,6,5,6,4,7,4,7,6,Low
163,Male,1,4,5,4,6,4,6,5,5,4,4,6,2,5,6,2,7,3,5,1,5,7,5,6,6,6,1,3,6,Low
164,Female,1,5,5,4,5,2,6,6,3,6,3,3,4,3,7,4,6,6,5,2,5,5,5,5,5,4,3,7,6,Low
165,Male,1,5,5,3,6,2,5,4,4,6,3,7,3,6,5,4,6,4,7,1,5,7,4,5,5,5,2,6,5,Low
166,Female,1,4,5,5,7,2,6,2,3,6,5,5,2,7,6,3,5,3,7,2,5,5,4,5,3,5,2,4,6,Low
167,Female,1,4,5,3,6,1,5,5,4,5,3,5,1,5,6,5,5,3,5,1,7,6,4,7,3,6,2,6,6,Low
168,Female,1,6,5,2,4,4,6,5,3,6,3,5,3,6,4,5,6,3,7,1,6,4,4,7,5,5,2,6,5,Low
169,Female,1,4,3,3,4,4,4,5,5,4,4,4,4,6,4,4,4,4,4,2,4,7,4,6,4,4,4,4,5,Low
170,Female,1,3,3,3,6,1,5,6,4,5,3,6,1,6,6,6,6,4,5,3,6,6,5,3,4,5,2,7,4,Low
171,Female,1,4,7,4,6,1,7,4,4,7,3,7,3,6,6,5,4,1,7,1,6,5,3,6,3,5,3,5,5,Low
172,Male,1,2,6,5,4,1,7,4,3,6,4,5,1,7,5,4,6,4,3,3,7,5,4,5,4,6,2,4,4,Low
173,Female,1,5,5,4,6,3,7,4,3,4,5,7,2,6,6,3,7,3,5,2,5,7,3,4,3,3,3,5,6,Low
174,Male,1,4,4,4,4,4,4,5,4,4,4,6,2,6,4,4,4,4,4,4,7,4,4,4,5,4,4,2,4,Low
175,Female,1,4,6,4,7,2,6,5,5,7,3,7,1,7,5,3,5,4,5,2,4,7,3,7,4,7,1,6,3,Low
176,Female,1,4,6,4,6,3,7,3,3,5,5,5,4,7,7,4,5,2,5,1,5,7,5,5,5,7,3,6,5,Low
177,Male,1,6,6,6,7,1,7,5,4,6,5,5,1,4,4,3,5,5,6,2,7,6,4,6,2,5,2,4,5,Low
178,Female,1,5,7,4,6,1,7,2,2,7,4,6,7,7,7,4,5,4,7,2,6,6,5,6,3,6,3,7,5,Low
179,Female,1,3,7,7,6,2,7,6,3,7,4,4,2,7,2,5,7,4,6,5,5,7,6,5,5,7,3,6,7,Low
180,Male,1,4,6,3,7,1,7,4,4,6,5,7,1,6,5,5,7,5,7,2,5,6,5,5,3,7,2,7,5,Low
181,Male,1,3,7,2,5,3,4,2,4,7,3,7,1,6,6,6,5,4,5,2,5,4,4,5,3,5,3,5,4,Low
182,Male,1,4,6,4,5,2,7,3,5,6,3,5,2,6,6,4,6,2,6,1,5,6,3,7,3,7,3,7,6,Low
183,Female,1,4,7,4,5,6,5,3,2,7,6,5,1,7,6,4,7,4,5,1,6,6,4,7,3,5,3,6,5,Low
184,Male,1,5,5,5,7,2,6,5,4,6,5,7,3,6,6,3,6,4,7,3,6,6,4,7,5,6,3,7,6,Low
185,Female,1,4,6,4,5,6,7,6,3,7,4,6,2,4,4,6,5,5,6,2,5,7,5,5,4,6,2,7,7,Low
186,Male,1,4,4,1,6,1,4,1,5,5,1,5,1,4,6,3,5,5,5,1,6,4,3,4,1,5,1,5,5,Low
187,Female,1,2,4,5,6,2,6,3,4,6,4,7,3,5,4,3,5,4,6,4,7,4,4,5,4,4,1,6,7,Low
188,Female,1,3,4,4,4,3,6,4,6,6,4,6,3,5,7,3,6,5,5,2,5,6,3,6,4,6,1,4,6,Low
189,Female,1,3,6,3,5,1,7,3,4,5,5,5,2,6,6,4,5,5,5,3,4,6,3,6,3,6,2,4,5,Low
190,Male,1,4,5,3,6,3,7,5,6,5,5,7,3,7,4,5,4,3,7,7,5,6,4,5,5,7,2,6,6,Low
191,Male,1,4,7,5,7,3,7,5,4,7,5,6,2,7,7,4,7,5,6,2,7,7,4,7,5,7,3,7,6,Low
192,Female,1,4,7,5,5,1,6,5,4,7,3,6,1,6,7,6,6,3,7,2,7,7,7,6,4,7,2,6,7,Low
193,Male,1,4,6,3,7,2,6,3,2,7,4,6,1,4,5,6,5,3,6,3,6,6,7,7,5,5,3,6,6,Low
194,Male,1,4,7,4,4,1,5,4,3,5,4,4,4,4,5,2,4,4,4,3,4,4,4,4,4,4,4,4,5,Low
195,Female,1,3,5,5,6,3,7,4,5,7,4,7,1,5,3,5,6,4,6,1,6,5,3,4,3,6,3,6,7,Low
196,Male,1,4,4,3,4,1,3,4,3,5,2,4,1,5,5,3,4,2,3,1,4,6,2,6,3,6,3,6,4,Low
197,Female,1,7,7,7,7,3,7,4,5,7,4,7,2,6,7,6,7,5,7,2,6,7,4,7,5,6,2,7,7,Low
198,Female,1,3,5,4,6,2,5,5,6,6,5,5,2,6,6,4,5,5,6,3,6,7,4,6,2,5,1,6,5,Low
199,Female,1,4,6,3,5,2,7,3,3,7,5,5,1,5,6,3,6,3,6,1,4,6,5,6,4,5,1,6,5,Low
200,Female,1,7,3,5,5,2,7,3,4,4,4,5,2,6,5,4,6,4,6,2,7,7,4,5,5,6,3,7,6,Low
201,Male,1,4,6,4,6,3,7,3,4,7,3,5,2,7,6,2,6,4,5,2,5,6,4,5,3,4,3,5,7,Low
202,Female,1,4,6,5,6,2,4,2,6,7,4,7,4,6,5,4,5,4,6,4,6,5,3,5,4,6,2,5,7,Low
203,Male,1,2,5,4,4,3,7,7,3,6,4,6,3,6,7,4,7,6,5,1,6,6,4,7,5,4,1,4,5,Low
204,Male,1,2,5,2,6,3,5,3,5,5,7,6,2,7,6,5,5,4,7,2,5,5,6,6,5,7,3,6,7,Low
205,Female,1,3,7,3,5,2,7,4,4,7,5,6,2,6,7,4,6,4,5,3,6,5,4,5,5,5,2,6,4,Low
206,Male,1,2,6,4,7,2,6,4,4,7,4,7,1,4,6,5,6,1,6,2,6,6,2,5,6,5,1,6,5,Low
207,Female,1,5,4,4,3,1,7,5,5,6,4,7,5,5,7,4,6,3,6,3,6,5,5,6,3,6,2,7,7,Low
